time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
5.3000000000000005e-08,-1.3016004558727073e-07,1.3016004558727092e-07,1.852884572118782e-22
5.4e-08,-1.2516158762072642e-07,1.251615876207266e-07,1.852884572118782e-22
5.5e-08,-1.201631296541821e-07,1.201631296541823e-07,1.852884572118782e-22
5.6000000000000005e-08,-1.151646716876378e-07,1.1516467168763798e-07,1.852884572118782e-22
5.7e-08,-1.1016621372109348e-07,1.1016621372109368e-07,1.9852334701272664e-22
5.8e-08,-1.0516775575454917e-07,1.0516775575454937e-07,1.9852334701272664e-22
5.9000000000000006e-08,-1.0016929778800486e-07,1.0016929778800507e-07,2.117582368135751e-22
6.000000000000001e-08,-9.517083982146054e-08,9.517083982146076e-08,2.117582368135751e-22
6.1e-08,-9.017238185491623e-08,9.017238185491644e-08,2.117582368135751e-22
6.2e-08,-8.517392388837192e-08,8.517392388837214e-08,2.2499312661442353e-22
6.300000000000001e-08,-8.01754659218276e-08,8.017546592182783e-08,2.2499312661442353e-22
6.4e-08,-7.517700795528329e-08,7.517700795528352e-08,2.2499312661442353e-22
6.5e-08,-7.017854998873898e-08,7.017854998873922e-08,2.3822801641527197e-22
6.600000000000001e-08,-6.518009202219467e-08,6.51800920221949e-08,2.3822801641527197e-22
6.7e-08,-6.018163405565035e-08,6.018163405565059e-08,2.3822801641527197e-22
6.8e-08,-5.518317608910604e-08,5.518317608910629e-08,2.514629062161204e-22
6.900000000000001e-08,-5.018471812256173e-08,5.018471812256198e-08,2.514629062161204e-22
7e-08,-4.5186260156017416e-08,4.5186260156017674e-08,2.5808035111654463e-22
7.1e-08,-4.01878021894731e-08,4.018780218947337e-08,2.6469779601696886e-22
7.200000000000001e-08,-3.518934422292879e-08,3.518934422292906e-08,2.713152409173931e-22
7.3e-08,-3.019088625638448e-08,3.0190886256384755e-08,2.779326858178173e-22
7.4e-08,-2.5192428289840165e-08,2.5192428289840443e-08,2.779326858178173e-22
7.500000000000001e-08,-2.0193970323295852e-08,2.0193970323296137e-08,2.845501307182415e-22
7.6e-08,-1.5195512356751543e-08,1.519551235675183e-08,2.8785885316845363e-22
7.7e-08,-1.0197054390207233e-08,1.0197054390207521e-08,2.8785885316845363e-22
7.800000000000001e-08,-5.198596423662924e-09,5.198596423663213e-09,2.895132143935597e-22
7.9e-08,-2.001384571186142e-10,2.0013845711890538e-10,2.9116757561866574e-22
8e-08,4.798319509425695e-09,-4.7983195094254024e-09,2.928219368437718e-22
8.100000000000001e-08,-1.9513999915206647e-10,1.9513999915236095e-10,2.9447629806887785e-22
8.2e-08,-5.188599507729828e-09,5.188599507730124e-09,2.961306592939839e-22
8.3e-08,-1.0182059016307588e-08,1.0182059016307888e-08,2.99439381744196e-22
