Time_s,ChassisPosition_m,ChassisVelocity_ms,ChassisMomentum_kgms,PacketPosition_m,PacketEnergy_J,SystemCenterOfMass_m,LorentzGamma,ThermalLoss_J,TotalEnergy_J
0.0,-5.003461427972281e-08,-500.3461427972281,-500346.14279722807,0.029979195765385724,150000000000000.0,-8.350638520113107e-14,1.0,0.0,8.987566787368177e+19
1e-10,-1.0006922855937593e-07,-500.3461427965311,-500346.14279722807,0.05995839153077145,150000000000000.0,-1.6701284008900785e-13,1.0000000000013929,0.0,8.987566787380694e+19
2e-10,-1.5010384283902903e-07,-500.3461427965311,-500346.14279722807,0.08993758729615717,150000000000000.0,-2.505192252764701e-13,1.0000000000013929,0.0,8.987566787380694e+19
3e-10,-2.0013845711868213e-07,-500.3461427965311,-500346.14279722807,0.1199167830615429,150000000000000.0,-3.3402561046393237e-13,1.0000000000013929,0.0,8.987566787380694e+19
4e-10,-2.5017307139833524e-07,-500.3461427965311,-500346.14279722807,0.14989597882692862,150000000000000.0,-4.175319955971846e-13,1.0000000000013929,0.0,8.987566787380694e+19
5e-10,-3.0020768567798834e-07,-500.3461427965311,-500346.14279722807,0.17987517459231434,150000000000000.0,-5.010383808388569e-13,1.0000000000013929,0.0,8.987566787380694e+19
6e-10,-3.5024229995764144e-07,-500.3461427965311,-500346.14279722807,0.20985437035770005,150000000000000.0,-5.845447660263192e-13,1.0000000000013929,0.0,8.987566787380694e+19
7e-10,-4.0027691423729454e-07,-500.3461427965311,-500346.14279722807,0.23983356612308576,150000000000000.0,-6.680511512137814e-13,1.0000000000013929,0.0,8.987566787380694e+19
7.999999999999999e-10,-4.5031152851694765e-07,-500.3461427965311,-500346.14279722807,0.2698127618884715,150000000000000.0,-7.515575364012437e-13,1.0000000000013929,0.0,8.987566787380694e+19
8.999999999999999e-10,-5.003461427966008e-07,-500.3461427965311,-500346.14279722807,0.2997919576538572,150000000000000.0,-8.35063921588706e-13,1.0000000000013929,0.0,8.987566787380694e+19
9.999999999999999e-10,-5.50380757076254e-07,-500.3461427965311,-500346.14279722807,0.3297711534192429,150000000000000.0,-9.185703069387983e-13,1.0000000000013929,0.0,8.987566787380694e+19
1.1e-09,-6.004153713559071e-07,-500.3461427965311,-500346.14279722807,0.3597503491846286,150000000000000.0,-1.0020766921804704e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.2e-09,-6.504499856355603e-07,-500.3461427965311,-500346.14279722807,0.38972954495001433,150000000000000.0,-1.0855830775305629e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.3e-09,-7.004845999152134e-07,-500.3461427965311,-500346.14279722807,0.41970874071540004,150000000000000.0,-1.169089462663815e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.4000000000000001e-09,-7.505192141948666e-07,-500.3461427965311,-500346.14279722807,0.44968793648078575,150000000000000.0,-1.2525958479054874e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.5000000000000002e-09,-8.005538284745197e-07,-500.3461427965311,-500346.14279722807,0.47966713224617147,150000000000000.0,-1.3361022332555796e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.6000000000000003e-09,-8.505884427541729e-07,-500.3461427965311,-500346.14279722807,0.5096463280115572,150000000000000.0,-1.419608618388832e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.7000000000000003e-09,-9.00623057033826e-07,-500.3461427965311,-500346.14279722807,0.539625523776943,150000000000000.0,-1.503115003630504e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.8000000000000004e-09,-9.506576713134792e-07,-500.3461427965311,-500346.14279722807,0.5696047195423287,150000000000000.0,-1.5866213887637564e-12,1.0000000000013929,0.0,8.987566787380694e+19
1.9000000000000005e-09,-1.0006922855931324e-06,-500.3461427965311,-500346.14279722807,0.5995839153077145,150000000000000.0,-1.6701277737885885e-12,1.0000000000013929,0.0,8.987566787380694e+19
2.0000000000000005e-09,-1.0507268998727855e-06,-500.3461427965311,-500346.14279722807,0.6295631110731003,150000000000000.0,-1.753634159030261e-12,1.0000000000013929,0.0,8.987566787380694e+19
2.1000000000000006e-09,-1.1007615141524387e-06,-500.3461427965311,-500346.14279722807,0.659542306838486,150000000000000.0,-1.8371405442719333e-12,1.0000000000013929,0.0,8.987566787380694e+19
